file_base_name,split,length,duration,makam,form,usul,title,artist,label
mahur--turku--sofyan--yemenimde_hare_var--.npy,train,396,15993,mahur,turku,sofyan,yemenimde_hare_var,,19
sevkefza--sarki--semai--geldik_gidiyoruz--omer_dilek.npy,train,375,20857,sevkefza,sarki,semai,geldik_gidiyoruz,omer_dilek,31
saba--sarki--nimsofyan--gel_kulbe-i--.npy,train,145,10390,saba,sarki,nimsofyan,gel_kulbe-i,,27
rast--nakis--yuruksemai--gulsende_yine--muallim_ismail_hakki_bey.npy,train,464,21304,rast,nakis,yuruksemai,gulsende_yine,muallim_ismail_hakki_bey,26
buselik--sarki--agiraksak--kalbimin_derdiyle--feridun_darbaz.npy,train,629,27575,buselik,sarki,agiraksak,kalbimin_derdiyle,feridun_darbaz,4
karcigar--ornek_oz--sofyan--1--huseyin_sadettin_arel.npy,train,25,2390,karcigar,ornek_oz,sofyan,1,huseyin_sadettin_arel,16
nihavent--seyir--sofyan--1--erol_bingol.npy,train,53,3190,nihavent,seyir,sofyan,1,erol_bingol,23
nihavent--sarki--yuruksemai_ii--suzup_suzup--rahmi_bey.npy,train,478,16079,nihavent,sarki,yuruksemai_ii,suzup_suzup,rahmi_bey,23
mahur--tavsanca--aksak--aldi_aklim--ii_mahmud.npy,train,318,11059,mahur,tavsanca,aksak,aldi_aklim,ii_mahmud,19
mahur--turku--kapali_curcuna--meclisinde_mail--adiyaman.npy,train,626,23153,mahur,turku,kapali_curcuna,meclisinde_mail,adiyaman,19
segah--turku--sofyan--pancar_pezik--hacibektas.npy,train,727,19850,segah,turku,sofyan,pancar_pezik,hacibektas,29
huzzam--turku--musemmen_ii--su_karsiki--hatay.npy,train,573,20162,huzzam,turku,musemmen_ii,su_karsiki,hatay,14
nihavent--sarki--duyek--sarkilar_seni--muzaffer_ilkar.npy,train,530,22452,nihavent,sarki,duyek,sarkilar_seni,muzaffer_ilkar,23
saba--sarki--devrihindi--oyle_bir--aleko_bacanos.npy,train,565,22114,saba,sarki,devrihindi,oyle_bir,aleko_bacanos,27
beyati--sazsemaisi--aksaksemai--beyatiye_bir_damla--necmi_kiran.npy,train,1334,34702,beyati,sazsemaisi,aksaksemai,beyatiye_bir_damla,necmi_kiran,3
mahur--sarki--evfer--kalbimdeki_amal-i--muallim_ismail_hakki_bey.npy,train,335,14393,mahur,sarki,evfer,kalbimdeki_amal-i,muallim_ismail_hakki_bey,19
nihavent--sarki--turkaksagi--bir_tatli_urperti--fethi_karamahmutoglu.npy,train,396,19043,nihavent,sarki,turkaksagi,bir_tatli_urperti,fethi_karamahmutoglu,23
hicaz--sarki--agiraksak--firkatin_aldi--bimen_sen.npy,train,567,22050,hicaz,sarki,agiraksak,firkatin_aldi,bimen_sen,8
hicazkar--sarki--kapali_curcuna--bahar_geldi--muhlis_sabahaddin_ezgi.npy,train,482,20995,hicazkar,sarki,kapali_curcuna,bahar_geldi,muhlis_sabahaddin_ezgi,11
yegah--sazsemaisi--aksaksemai----neyzen_aziz_dede.npy,train,391,17729,yegah,sazsemaisi,aksaksemai,,neyzen_aziz_dede,38
muhayyerkurdi--turku--sofyan--cokertmeden_ciktim_da--.npy,train,694,23894,muhayyerkurdi,turku,sofyan,cokertmeden_ciktim_da,,21
